﻿spot,rating,location,website,phone,notice,price,introduction,time,policy,service,grade,number,traffic,sid
西安碑林博物馆,5A,西安市文昌门内三学街15号,http://www.beilin-museum.com/,"029-87210764,029-87253331",,60,西安碑林博物馆位于文昌门附近，馆内由碑林、石刻艺术等部分组成，其中由历代碑石、墓志组成的碑林是馆内的亮点，其中包括颜真卿、柳公权、怀素等书法名家的碑刻，还有《石台孝经》和《开成石经》两块唐代碑刻。,全年 08:00-18:30(最晚入园17:45),"儿童：身高1.2米（含）以下的儿童或6周岁（含）以下的儿童凭居民身份证。，免费
老人：65周岁（含）以上老年人凭居民身份证或陕西省敬老优待证。，免费
军人：现役军人（含军队离退休干部）凭军官证（离退休证）或士官证。，免费
残疾人：残疾人凭残疾证。，免费
学生：6周岁（含）至18周岁（含）的未成年人或国内全日制大学本科及以下学历学生凭有效学生证。，半价
补充说明：澳门、台湾等入境青少年凭《港澳居民来往内地通行证》、《台湾居民来往大陆通行证》或学生证件等有效学生证明，享受与内地青少年同等的优惠政策。","停车场：【西安碑林博物馆停车场】参考价格：¥10/次；地址：西安市碑林区三学街15号(近书院门)西安碑林博物馆内；库位：500
手机充电：碑林博物馆游客服务中心配备充电器，提供充电服务
景区讲解：碑林博物馆提供中英文讲解及点讲服务
婴儿车租赁：碑林博物馆游客服务中心提供童车租赁服务
雨具租赁：碑林博物馆游客服务中心提供雨具租赁服务
轮椅租赁：碑林博物馆游客服务中心提供轮椅租赁服务
卫生间：3个厕所，位于背池鱼，问天阁，景区门口
残障通道：残障人士可通过参观区的无障碍通道进入景区。",4.7,4738条点评,乘坐600路到南门里站下,11
西安鼓楼,,西安市莲湖区北院门74号,,,,30,西安鼓楼与钟楼相望，是古城的标志性建筑之一。鼓楼始建于明洪武十三年（1380年），登上鼓楼，能够看到一面高1.8米的大鼓，还有24面刻着24节气的红鼓，非常有气势。此鼓楼内还展览着明清家具、瓷器和齐白石的书画。,"2月12日-10月10日 08:30-21:30(停止售票21:00,最晚入园21:00)；12月24日-次年2月11日 08:30-18:00(停止售票17:30,最晚入园17:30)；鼓乐编钟表演演出时间：09:30、10:15、11:00、11:45、14:00、15:00、16:00、17:00","学生：6岁（不含6岁）以上-18岁（含18岁）未成年人，半价
儿童：6岁（不含6岁）以上-18岁（含18岁）未成年人，半价；1.2米（含）以下或6周岁（含）以下，免费
老人：65岁（含）以上老年人，免费
残疾人：凭残疾证，免费
军人：现役军人凭军官证，免费
全国院士：借有效证件（院士证或者“三秦优才卡”），免费
补充说明：院士本人需至售票窗口换取免费门票，登楼参观；军人、残疾人需持有效证件换票后登楼参观；65岁以上老人持身份证件无需换票即可登楼。 以上信息仅供参考，具体以景区当天披露为准",乘坐4路到广济街(市信访接待中心)站下,4.5,3193条点评,"1、演出期间请勿大声喧哗，请看管好自己的小孩，携带好随身物品；

2、演出期间请配合现场工作人员的引导，保持现场秩序良好；

3、拍照时请您关闭闪光灯。",12
大唐不夜城,,西安市雁塔区慈恩路46号,,,,60,,全天开放,乘坐146路到雁塔南路雁南一路口站下,,4.6,1089条点评,,13
大明宫国家遗址公园,5A,西安市未央区太华南路,http://www.dmgpark.com/,029-82200808,考古探索中心升级改造+大明宫遗址博物馆闭馆,88,唐代的大明宫是长安城中最为辉煌壮丽的建筑群。公园建在大明宫的遗址上，这里有含元殿等宫殿的台基、墩台遗址；能欣赏到复原的大明宫微缩景观；观赏IMAX 3D影片《大明宫传奇》，还能体验文物的考古发掘和修复。,全年 08:30-19:00,"儿童：身高1.2米（含）以下，免费；身高1.2米（不含）-1.4米（含）；未成年人6周岁（不含）-18周岁（含）凭身份证或户口本，半价
学生：全日制大中小学生（不含成人教育、研究生），半价
老人：65周岁（含）以上凭老年证或身份证，免费
军人：退役军人凭退役证；现役军人（含武警）、军队院校学员凭军官证等相关有效证件；残疾军人、革命伤残人士凭军残证明等相关有效证件，免费
残疾人：凭残疾证，免费
警察：警察凭警察证，免费","停车场：【游客服务中心停车场】参考价格：3元/小时；地址：游客服务中心停车场；库位：500
手机充电：游客服务中心内含有充电宝租赁
行李寄存：游客服务中心免费寄存
景区讲解：电瓶车上含有简单的景点讲解；3个馆内均含有讲解，每整点及半点一场，请及时安排时间
景区地图：游客服务中心可免费领取景区地图
园内交通：景区内电瓶车30元/人，须持景区大门票购买；景区外小火车40元/人；电瓶车门票+小火车门票套票50元/人（法定节假日除外）；招手即停，仅限一圈，随上随下
讲解器租赁：电子讲解器押金200元/个，30元/5小时，超过5小时，每小时15元
婴儿车租赁：游客服务中心17:30前免费租赁，押金1000元，17:30之后归还每半小时50元
雨具租赁：游客服务中心17:30前免费租赁，押金100元，17:30之后归还每半小时50元
轮椅租赁：游客服务中心17:30前免费租赁，押金1000元，17:30之后归还每半小时50元
卫生间：游客服务中心、考古探索中心、丹凤门遗址博物馆、大明宫遗址博物馆（地下博物馆），园区内均含有卫生间
吸烟区：景区内不允许吸烟
母婴室：游客服务中心内
ATM机：游客服务中心内含有工商银行ATM机
餐厅：景区内含有3个餐厅可供选择，同茂楼、唐御苑、锦旗花园酒店餐厅
自动售卖机：游客服务中心、丹凤门遗址博物馆、大明宫遗址博物馆（地下博物馆）均含有自动贩卖机
便利店：景区内含4个商店，3个餐厅内均含商店，大明宫I-max电影院内含商店",4.2,4282条点评,乘坐地铁2号线到龙首原站下,14
大雁塔北广场,,西安市雁塔区芙蓉东路3号,,,,,大雁塔北广场位于大雁塔脚下，是国内较大的唐文化主题广场之一。广场由中央的音乐喷泉和东西两侧的“戏曲大观园”、“民俗大观园”组成。广场旁的步行街上还有一些反映唐代民众生活场景的系列雕塑。,全年 全天开放；音乐喷泉开放时间【夏季6月10日起】星期一至星期五每天表演两场(周二喷泉水舞设备例行检修，白天停开)12:00、21:00;星期六、星期日及其他国家法定假日每天表演5场，12:00、15:00、16:00、18:00、21:00。【冬季10月9日起】星期一至星期五每天表演两场(周二喷泉水舞设备例行检修。白天停开)，具体时间为: 12:00、20:30；星期六，星期日及其他国家法定假日每天表演五场，具体时间为: 12:00、14:00、16:00、 18:00、20:30。（时间仅供参考）,补充说明：1、该景点无优待政策。,乘坐地铁3号线到大雁塔站下,4.4,1055条点评,,15
小雁塔(荐福寺),4A,西安市碑林区友谊西路72号,,,,,小雁塔位于荐福寺内，因为塔形似大雁塔并且小于大雁塔，而得名。与大雁塔的喧嚣相比，小雁塔安静了许多。小雁塔下，露天摆放着不少历代精美的石佛、石狮、石马、拴马桩等石雕，喜欢民俗文物的游客不能错过。,"全年 周一,周三至周日 09:00-17:30(最晚入园17:00) 周二 不开放；停止入园时间：17:00；每周二（国家法定节假日除外）及除夕全天闭馆，其余时间开放",儿童：身高1.2（不含）米以下，各体验项目，免费,"停车场：【小雁塔景区北门停车场】参考价格：大巴9元/小时；中巴6元/小时；小车3元/小时；地址：西安市雁塔区友谊西路；库位：90；【小雁塔景区西门停车场】参考价格：大巴9元/小时；中巴6元.小时；小车3元/小时；地址：西安市朱雀大街北段；库位：88
WIFI：账号：xytyk；密码：bwyyk123；范围：全景区
手机充电：游服中心可有自助手机充电宝租赁
行李寄存：小雁塔景区北门及西门游客服务中心均可免费寄存行李
景区讲解：10人以下语音讲解费用100元/次，外语讲解150元/次；11人~20人团队200元/次；免费讲解：周一~周五（除周二闭馆）每天10:30、15:00免费讲解；时长：90分钟
景区地图：小雁塔景区西门及北门入口处有景区导览地图
讲解器租赁：西安博物院含有自助语音导览机，微信或支付宝押金200元，归还设备需扣除租金30元/次后退回，耳机需另付10元/副
婴儿车租赁：游客服务中心需身份证及200元押金免费租赁
雨具租赁：游客服务中心需100元押金免费租赁
轮椅租赁：游客服务中心需身份证及300元押金免费租赁
卫生间：景区内含有卫生间；北门安检入口处；大雄宝殿西侧；西安博物院展馆内
吸烟区：景区内不可吸烟，火种不可带入景区内
母婴室：景区内含有母婴卫生间
残障通道：景区含有残障通道
纪念品商店：含有两个纪念品文创商店；藏经楼南侧及西安博物院展馆内
自动售卖机：景区内含有多个自助售卖机
便利店：景区内含有两个商店；位置：东长廊及方丈殿(长安古乐演出）门口",4.5,1678条点评,乘坐游7路到南稍门站下,16
秦岭野生动物园,4A,西安市长安区滦镇,http://www.xianzoo.com/,029-85670000,,96,西安秦岭野生动物园，是集野生动物移地保护、科普教育、旅游观光、休闲度假于一体的国家4A级旅游景区。园区占地2600余亩，展养着秦岭四宝“大熊猫、羚牛、金丝猴、朱鹮”等秦岭珍稀动物以及来自世界各地极富代表性的野生动物200余种、6000余头（只），动物种群、数量均居西北首位，年接待游客超过180万人次。开园以来相继荣获全国野生动物保护科普教育基地、全国青年文明号、陕西省中小学生研学实践教育基地、西安市青少年科普教育基地等称号，是陕西省、西安市服务业名牌企业等多项荣誉称号。,全年 周一至周五 08:30-17:30(最晚入园17:30) 周六至周日 08:30-18:00(最晚入园17:30),"儿童：6周岁（含）以下或者身高1.2米（含）以下的儿童，免费；身高1.2米（不含）—1.4米（含）的儿童，现场量身高核实；6周岁（不含）以上，且身高超过1.4米的，年龄在18周岁（不含）以下，需携带儿童本人身份证件等相关有效证件，半价
老人：65周岁（含）以上持有效证件，免费
残疾人：凭本人有效残疾证，免费
现役军人：凭本人有效军官证、士兵证，免费
伤残军人：凭本人有效伤残军人证，免费
文职干部：现役文职干部，免费
军队院校学员：凭本人有效军队院校学员证，免费","停车场：【西安秦岭野生动物园停车场】参考价格：¥10/次；地址：西安市长安区秦岭野生动物园门口；库位：1000
手机充电：游客服务中心有租用充电宝，游客可随身携带，按照时间计费；也有免费充电线供使用，位于服务中心固定位置，不可随身携带
行李寄存：售票处大门右侧卫生间有免费寄存柜24个，游客服务中心有免费寄存柜24个
景区讲解：景区有人工讲解及电子语音讲解，电子语音讲解需租赁，人工讲解一般服务于团队游客
景区地图：景区西大门（假山）游客服务中心服务台处可领取景区地图
园内交通：门票包含景区观光大巴车，游览草原区和猛兽区，发车时间如下：①旺季：3月1日至11月30日，始发车时间为 9:30，末班车周内发车时间为 18:00 ，末班车周末发车时间为 18:30；②淡季：12月1日至次年2月底，始发车时间为 9:30，末班车周内发车时间为17:30，末班车周末发车时间为18:00。
讲解器租赁：电子讲解器租赁20元/次/只，押金100元，使用当天归还，服务语言限中文普通话，如损坏或遗失，按照每只笔100元，每副耳机50元的价格赔偿
婴儿车租赁：游客服务中心有婴儿车租赁，押金300元，当天借还
轮椅租赁：游客服务中心有轮椅租赁，押金500元，当天借还
卫生间：园区内多处有卫生间，共12处
母婴室：景区出口右侧有母婴室
残障通道：景区检票入口处最右侧为爱心通道（轮椅、婴儿车、证件票）
餐厅：马戏大世界西侧及海洋表演场分别有餐厅，提供早中晚餐
纪念品商店：景区内商店有纪念品在售
便利店：景区内步行游览区内多处设有便利店",4.4,5997条点评,乘坐游9/320路到野生动物园站下,17
永宁门,,西安市碑林区南大街2号,,,,,永宁门是西安城墙的正南门，多被称为南门，建于隋代初年。它是西安城门中资格较老、沿用时间很长的一座城门，隋朝时这里是皇城南面三座城门中偏东的一座，称安上门。唐末韩建缩建新城时留作南门，明代改为永宁门。南门是西安城的迎宾门，由于它是西安城墙各门中复原得完整又漂亮的一座，因此也就成为游客选择登城较多的一个门。,8:00-22:00,乘坐地铁2号线到永宁门站下,,4.6,374条点评,,18
西安博物院,4A,西安市碑林区友谊西路72号,http://www.xabwy.com/,"029-87803591,029-85238032",景区入园门票免费，游玩须知,0,西安博物院位于荐福寺院内。通过院内的主题陈列 “古都西安”，你能了解到西安千年的建都历史和都城发展史。院内还有从周至明清各个朝代的西安城的“城郭模型”，能够看出历代都城的规模、布局和当时的生活状况。,"全年 周二 不开放 周一,周三至周日 09:00-17:30；中国法定节假日 09:00-17:30",儿童：身高1.2（不含）米以下，免费,停车场：【西安博物院停车场  】参考价格：无；地址：友谊西路72号西安博物院内；库位：160,4.6,594条点评,乘坐游7路到小雁塔站下,19
西安半坡博物馆,4A,西安市半坡路155号,http://www.bpmuseum.com/,"029-62815385,029-62815405",,50,西安半坡博物馆， 1957年在半坡遗址（距今约6000年的新石器时代仰韶文化母系氏族部落遗址）上建成。在这里就像穿越了时光，再现了祖先们的生活场景，还能够了解到当时独特的墓葬制度和古朴的制陶与彩绘艺术。,"3月1日-11月30日 08:00-17:30(停止售票17:00,最晚入园17:00)；12月1日-次年2月28日 08:00-17:00；17:30闭园清馆，请合理安排游览时间。","儿童：低于1.2米（不含），免费；1.2米以上6周岁（不含）以上且18岁以下的儿童，优惠票
学生：学生需持有效学生证执行半价政策，优惠票
免票人群：现役军人及军队离退休干部、残疾人、65周岁及以上老年人凭有效证件免票，免费","停车场：【西安半坡遗址停车场】参考价格：免费；地址：陕西省西安市半引路155号；库位：200
景区讲解：有电子讲解及人工讲解可供选择",4.6,1895条点评,乘坐地铁1号线到半坡站下,20
曲江海洋极地公园,4A,西安市雁塔区曲江二路1号（近大唐芙蓉园东门）,http://www.xaoceanpark.cn/,"029-85530555,029-85517317",,168,来曲江海洋极地公园，观看海洋生物和它们的各种表演。在海洋馆内能够观赏到美人鱼表演；极地馆每天有精彩的表演，能看到海豚表演顶球、跳圈以及和驯兽师一起表演火箭飞人等高难度动作。,"全年 09:09-18:30(停止售票16:30,最晚入园16:45)；极地馆营业时间：9:00-17:30          极地馆检票时间：9:00-16:45
海洋馆营业时间：9:00-18:30          海洋馆检票时间：9:00-17:45
冰雪馆营业时间：9:00-19:00          冰雪馆检票时间：9:00-18:20


开放时间：9:00—18:30
16:30停止售票，16:45停止入园。
①极地馆营业时间: 9:00-17:30检票时间: 9:00 -16:45 ；
②海洋馆营业时间: 9:00-18:30检票时间9:00- -17:45；
③冰雪馆营业时间9:00-19:00检票时间: 9:00-18:20.","儿童：身高：1.2米（含）~1.4米（不含），儿童票；身高1.2米（不含）以下，免费
学生：仅限全国全日制大专院校在校大学生（含专科生本科生），中小学，研究生，成人教育不可使用此票。，学生票
老人：65周岁（含）以上凭老年证或身份证，免费
补充说明：以上信息仅供参考，具体信息请以景区当天披露为准。","停车场：【曲江海洋馆地下停车场】参考价格：4元/小时（仅供参考，具体以现场价格为准）；地址：陕西省西安市雁塔区曲江二路1号（近大唐芙蓉园东门）；库位：176
卫生间：景区门设有卫生间，分别在兰州拉面、唐久便利店等设施附近，并标有醒目的指示牌。",4.1,3298条点评,乘坐601路到曲江海洋世界站下,21
翠华山,4A,西安市长安区太乙宫镇翠华山,http://www.cuihuashan.com/,"029-85892176,029-87805625",,55,翠华山位于西安市南部的秦岭北脉，山中除了拥有秀美的湖光山色外，还能看到断崖残峰、巨石奇洞和堰塞湖等山崩地裂的景观，因而被誉为：“山崩天然博物馆”。景区内还设有“西安翠华山滑雪场”，是西安首家滑雪场。,3月1日-11月30日 09:00-17:00；12月1日-次年2月28日 09:00-17:30；闭园前30分钟停止入场,"儿童：1.2米（不含）以下，免费；身高1.2米（含）至1.5米（不含），优惠票
老人：65周岁（不含）以上持国家寿星证，免费
学生：全日制大中小学生（不含成人教育、研究生）凭有效学生证，半价
军人：现役军人凭军官证、士兵证、武警警官证，免费
导游：随团导游凭导游证，免费
记者：凭采访任务相关证件及记者证，免费
教职工：9月10日当天，凭本人教师资格证，35元","停车场：【翠华山停车场】参考价格：¥25/次；地址：翠华山景区山门外；库位：100
园内交通：摆渡车：位于山脚、翠华山天池，现场收费60，从山脚至翠华山天池往返
卫生间：景区游客服务中心处及园内设有多处卫生间，均有指示牌提示",4.6,1357条点评,乘坐905路中转车到翠华山旅游车站下,22
高家大院,,西安市北院门144号,,,,15,高家大院在北院门清真小吃街上，是砖木结构的四合院，明朝末年崇祯时期开始兴建，到清朝乾隆时期基本初具规模，主体完工与乾隆时期，到道光年间才整体完工。,全年 10:00-19:00,"儿童：身高1.2米（不含）以下儿童免票（套票除外），免费
老人：65岁（不含）以上老人凭老人证或身份证免票； ，免费",乘坐4路到广济街(市信访接待中心)站下,4.4,1863条点评,,23
大雁塔北广场音乐喷泉,,西安市雁塔区大雁塔内,,,,,大雁塔北广场音乐喷泉又叫西安音乐喷泉，位于大雁塔北广场中轴线上。音乐喷泉广场由水景喷泉、文化广场、园林景观、文化长廊和旅游商贸设施组成，是全国较重要的唐文化广场。广场上有数量庞大的雕塑、雕像，在欣赏音乐喷泉之余，细细的品味一下这些雕塑也是不错的选择。,补充说明：1、【免费说明】免费免票。,乘坐地铁3号线到大雁塔站下,,4.6,851条点评,,24
广仁寺,,西安市莲湖区西北一路152号,www.guangrensi.com,029-87341676,,,西安的广仁寺，是陕西境内唯一的藏传黄教寺院（格鲁派），公元1703年由清圣祖康熙皇帝敕建，并且亲自题写匾额“广仁寺”。广仁寺建成后，西藏、蒙古、青海、甘肃等地区的活佛、喇嘛路过陕西时，均住寺瞻礼。,全年 09:00-18:00,"儿童：身高1.2米（不含）以下，免费；身高1.2米（不含）以上学生，半价
老人：70岁（含）以上，免费；60岁（含）-69岁（含）凭老年证或者身份证，半价
军人：凭有效军官证，免费
记者：凭有效记者证件，免费
教师：凭教师证，免费
残疾人：凭残疾证，优惠票",停车场：【西安广仁寺停车场】参考价格：免费；地址：陕西省西安市莲湖区西北一路152号；库位：200,4.6,361条点评,乘坐12路到玉祥门站下,25
大唐西市博物馆,4A,西安市莲湖区劳动南路118号,http://www.dtxsmuseum.com/,029-84351808,国际博物馆日一楼至四楼免费开放，请查看,25,,4月1日-10月31日 周二至周日 09:00-17:30(最晚入园16:00) 周一 不开放；11月1日-次年3月31日 周二至周日 09:00-17:00(最晚入园16:00) 周一 不开放；周一及除夕闭馆（法定节假日除外）,"儿童：1.3米（不含）以下，免费
老人：70岁（不含）以上老人持寿星证，免费
补充说明：1、建军节、教师节持有效证件免票。 2、以上信息仅供参考，具体信息请以大唐西市博物馆景区当天披露为准。","停车场：【大唐西市博物馆停车场】参考价格：免费；地址：陕西省西安市莲湖区劳动南路一号；库位：200
手机充电：景区内配有自助充电设备
行李寄存：大件行李请存入票务室旁边的免费存包柜内，贵重物品请自行妥善保管
景区讲解：人工讲解：有中文、英文和日文。一名讲解员最多可带领30名游客参观。自动语音导览机：有五种语言可供选择——中文、英文、法文、日文、韩文。
卫生间：园内有多处卫生间，均有指示牌指引
纪念品商店： 序厅一层西南角专营各式风格的丝织品，并专营隋唐历史及文化、陕西民风民俗、旅游等书籍；一楼西门为休闲茶餐厅；三楼平台专营咖啡、饮品等；三楼百工体验区将展演和销售相结合，分为茶艺坊、乐器铺、工艺坊、波斯店、丝织品、陶器坊、画坊、卜肆、珠宝店等十种类别。
便利店：园内有多处便利店，均有指示牌指引",4.4,315条点评,乘坐地铁5号线到西北工业大学站下,26
书院门文化街,,西安市碑林区书院门24号,,,,,书院门步行街，位于古城南城门（永宁门）东侧，西面连着南大街，向东的尽头靠近碑林博物馆。明、清两代陕西的学府“关中书院”就位于这条街上。古色古色的街道旁，处处都是字画店铺和经营文房四宝的小店。,全年 全天开放,乘坐600路到南门里站下,"1. 对于高价的名贵商品，如古玩、名家字画等等，如果自己不十分懂行，请慎重购买。另外，购买商品都可还价。
2. 关中书院，如今是西安文理学院书院校区校园，不对外开放。",4.3,337条点评,,27
青龙寺,,西安市雁塔区西影路铁炉庙村北1号(乐游原景区),,,,,青龙寺，寺初创于隋开皇二年（公元582年），当时称灵感寺，是佛教密宗寺院，著名的“入唐八大家”中的六家（均为入唐的日本僧侣），都受法于此。这里是日本人心目中的圣寺，是日本佛教真言宗的祖庭。,全年 08:30-16:30,乘坐地铁3号线到青龙寺站下,,4.5,499条点评,,28
曲江池遗址公园,,西安市雁塔区曲江池西路,,,,,遗址公园与大唐芙蓉园的南门隔街相望，这里在唐代就是皇家御苑。如今这里建造了不少仿唐古建筑，以及表现唐代生活的雕塑。市民喜欢来这里沿着池边散步、划船。园内还能看到不少皮影、剪纸等陕西手工艺品。,全天开放,"补充说明：1、特惠政策：该景点暂无任何优惠政策。2、以上信息仅供参考,具体信息请以景区当天披露为准。",乘坐地铁4号线到曲江池西站下,,,1. 根据部分游客反应，景区内的观光车运营不是很规范，有时会发生间隔时间过长、到站如果没人下车就不停车的现象。,29
